scholarship_program_name,promoter,funds,funds_in_rupiah,gpa,religion,major_study,gpa_status,identity,underrepresented_minority,volunteering,first_generation,parental_status,low_income,background,total_awardee,essay,smp,sma,sarjana,fresh_graduate,education_level
GD Sandeford Memorial Scholarship,Sandeford Family,3000,39000000,2.75,Publik,Any,TRUE,Semua,FALSE,TRUE,TRUE,None,FALSE,Volunteering/First-generation,3,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Julia Elizabeth Legacy Scholarship,Cedric Scott Jr,1065,13845000,0,Publik,STEM,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Richard Dunk Matthews II Scholarship,Richard Dunk Matthews II Welding Scholarship,1500,19500000,0,Publik,Trades,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,3,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Mark Suren Melkonian Memorial Scholarship,Bryce Hovannisian,1000,13000000,0,Publik,Agriculture,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
JADED Recovery Scholarship,Damon and Julia Click,7000,91000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Experienced drug or alcohol addiction,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Norma's Nursing Education Scholarship,Lee Lowicki,5000,65000000,0,Publik,Nursing,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,FALSE,TRUE,TRUE,Sarjana-Fresh graduate
28 Days of Black History Scholarship,Bold,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
PSIVision Youths Pursuing Behavioral Studies Scholarship,Sarah Michel,500,6500000,0,Publik,Behavioral studies,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Marilyn J. Palmer Memorial,Palmer,500,6500000,0,Publik,Trade/Vocational,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
J.R. McMasters Memorial Scholarship,Breanna McMasters,2000,26000000,3.4,Publik,Law Inforcement,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Pamela Branchini Memorial Scholarship,Dan Branchini Bruce Ewing Barbara Bell and the Glitter Team,2000,26000000,0,Publik,Fine Arts,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Jessie Koci Future Entrepreneurs Scholarship,Koci Family,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Pursuing future entrepreneur,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Russell Koci Skilled Trade Scholarship,Koci Family,1075,13975000,0,Publik,Trade,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
In My Mother's Name Scholarship,Intention Enterprises LLC,500,6500000,0,Publik,Nursing,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,FALSE,TRUE,TRUE,Sarjana-Fresh graduate
Sean Flynn Memorial Scholarship,Sean Flynn Foundation,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Glenda W. Brennan Good Works Memorial Scholarship,Daniel Brennan,1000,13000000,0,Publik,Travel Industry,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Gives back to the community,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Rev Herman A. Martin Memorial Scholarship,Chauncey Jones,1000,13000000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Kynnedy Simone I Am The Dream Scholarship,Kynnedy Smith,500,6500000,2.5,Publik,Any,TRUE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering/Community Service,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Nicholas Hamlin Tennis Memorial Scholarship,Nicholas Hamlin,1000,13000000,0,Publik,Sport Tennis,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Alcide Thomas Jr. Scholarship,Thomas Family,1320,17160000,2.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Law Family Single Parent Scholarship,Law,10000,130000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,Single parent,FALSE,Single parent,2,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
PAC: Diversity Matters Scholarship,Physician Assistants of Color Inc,5000,65000000,0,Publik,Physician Assistant,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,5,TRUE,FALSE,FALSE,TRUE,TRUE,Sarjana-Fresh graduate
iMatter Ministry Memorial Scholarship,Davis Realty LLC,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Ken Burnett Scholarship,Burnett,2000,26000000,0,Publik,Animal Science/Zoology/Biology,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Animal advocacy or care,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Mark Caldwell Memorial STEM/STEAM Scholarship,Rick Caldwell,1000,13000000,3.0,Publik,STEM/STEAM,TRUE,Semua,FALSE,FALSE,TRUE,None,FALSE,First-generation,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Tim Gjoraas Science and Education Scholarship,Gjoraas,1000,13000000,0,Publik,Education/Science,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Miguel Mendez Social Justice Scholarship,Nancy Roberts,500,6500000,3.0,Publik,Social Justice,TRUE,Semua,FALSE,FALSE,TRUE,None,TRUE,First-generation/Low-income,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
MedLuxe Reoresentation Matters Scholarship,MEDLUXE LLC,1000,13000000,0,Publik,Healthcare,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Kerry Kennedy Life is Good Scholarship,Amy Wise,1000,13000000,0,Publik,Education/Public Service/Social Work,FALSE,Perempuan,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Go Blue Crew Scholarship,Brian Thelen,500,6500000,3.5,Katolik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,Hudson or Saginaw Nouvel Catholic or South Lyon High School student,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Stephen R. Boardman Memorial Scholarship,Anonymous Donor,2500,32500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,TRUE,None,FALSE,First-generation,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Promising Pathways - Hearing Impairment Scholarship,Seamone Family,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Wears hearing aid or cochlear implants to assist with hearing,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Promising Pathways - Single Parent Scholarship,Seamone Family,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,Single parent,TRUE,Low-income/Single parent,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Saswati Gupta Cancer Research Scholarship,Sreya Sanyal,2000,26000000,0,Publik,Medicine/Biology,FALSE,Perempuan,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,FALSE,TRUE,TRUE,Sarjana-Fresh graduate
Patrick Stanley Memorial Scholarship,The Stanley Family,1500,19500000,0,Publik,STEAM,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Non-traditional student/ more than 25 years old,2,TRUE,FALSE,FALSE,TRUE,TRUE,Sarjana-Fresh graduate
523 Sean Felkins Scholarship,Boltz Foundation,5000,65000000,0,Publik,Sport Wrestling,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Gary G Goldstein Scholarship,Goldstein,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Jose Montanez Memorial Scholarship,The Berndt Family,1000,13000000,0,Publik,Foster care system/Music/Arts,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
PJC Memorial Scholarship,Cavanaugh Family,650,8450000,3.0,Publik,Marketing/Business,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
DeAmontay's Darkness Deliverance Scholarship,Calvin Oberlin,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Athlete,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
CHS Scholarship,Chattahoochee High School Alumni,1800,23400000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Chattahoochee High School student,2,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Amelia Michelle Sanford LGBTQIA+ Memorial Scholarship,Sanford Family,2500,32500000,0,Publik,Any,FALSE,LGBTQIA+,FALSE,FALSE,FALSE,None,FALSE,Played a sport,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Bros for Good Scholarship,Bros for good,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering/Community Service,1,TRUE,TRUE,TRUE,FALSE,FALSE,SMP-SMA
Verve Arts Scholarship,Verve Educational Consulting,1220,15860000,0,Publik,Arts,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
GrowingWithGabby National Scholarship Month TikTok Scholarship,Gabriella Carter,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,FALSE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Hispanic Climb to Success Scholarship,Tirado Family,2000,26000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,TRUE,Low-income,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Skin Grip Diabetes Scholarship,Skin Grip,27600,358800000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Has diabetes,25,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Hearts on Sleeves Minds in College Scholarship,Payal Mehta,1000,13000000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,TRUE,Low-income,2,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Julia Baucom Children of Families with Parkinson's Disease Scholarship,Julia BAUCOM,5000,65000000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,Parkinson's experience direct or indirect,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Larry Darnell Green Scholarship,Gloria Green,750,9750000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,Keluarga single parent,FALSE,Single parent/Child of single parent,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Loxy Burckhard Love is Kind Memorial Scholarship,Webb Family,5000,65000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,5,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Keri Sohlman Memorial Scholarship,Matthew Mingle,1500,19500000,0,Publik,Mental Health/Education,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Electronic Shark Scholarship,Shark Shark,500,6500000,0,Publik,Engineering,FALSE,Semua,FALSE,FALSE,FALSE,None,TRUE,Low-income,1,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
James Lynn Baker II BeACoffeeBean Scholarship,The Good Samaritan at the Baker Estate,10000,130000000,0,Publik,Any,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Scholar Dudes in Computer Science Scholarship,Golden Diploma LLC,1000,13000000,0,Publik,Computer Science,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Captain Clay Layne Memorial COLE Scholarship,Ella & Mellissa Collins,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Child of a law enforcement officer,1,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
Chronic Boss Scholarship,Chronic Boss Collective,10000,130000000,0,Publik,Any,FALSE,Perempuan,FALSE,FALSE,FALSE,None,FALSE,One or more autoimmune conditions,10,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Special Delivery of Dreams Scholarship,Rocky Mountain Philatelic Library,5000,65000000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,FALSE,FALSE,TRUE,FALSE,Sarjana
Rick Levin Memorial Scholarship,The Friends and Family of Rick Levin,4500,58500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,Participation in a speacial education program,1,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
Accounting for Change Scholarship,Brady Nikolas,2000,26000000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
West Pullman Scholarship,Friends & Family,4000,52000000,0,Publik,English/Theater/Playwriting,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Pro-Life Advocates Scholarship,Avila,500,6500000,0,Publik,Any,FALSE,Semua,FALSE,FALSE,FALSE,None,FALSE,None,1,TRUE,FALSE,TRUE,TRUE,FALSE,SMA-Sarjana
Bright Lights Scholarship,Bria Alexander,1000,13000000,0,Publik,Any,FALSE,Semua,TRUE,FALSE,TRUE,None,FALSE,First-generation,2,TRUE,TRUE,TRUE,TRUE,FALSE,SMP-SMA-Sarjana
American Dream Scholarship,Charleen Cabay,1000,13000000,0,Publik,Any,FALSE,Semua,FALSE,TRUE,FALSE,None,FALSE,Volunteering/Community Service,1,TRUE,TRUE,TRUE,TRUE,TRUE,SMP-SMA-Sarjana-Fresh graduate
Nasser Seconi Scholarship Fund,Darrick Seconi,3000,39000000,3.0,Publik,Any,TRUE,Semua,FALSE,FALSE,FALSE,None,FALSE,Soccer experience,3,TRUE,FALSE,TRUE,FALSE,FALSE,SMA
